0.000108,0.006706,-21.73525,0.924596,907.1452,79799.298,Transformer
0.000184,0.011412,-19.426384,0.924852,953.2908,92388.354,Informer
2025-02-22  *09:59:20,16QAM,frequency1:4G,frequency2:20G,memory depth:5,,
0.000942,0.041928,-13.77492,0.873671,508.1743,79799.298,Transformer
0.000941,0.04188,-13.779894,0.877475,550.1338,92388.354,Informer
2025-02-22  *10:48:30,16QAM,frequency1:4G,frequency2:20G,memory depth:10,,
0.000572,0.027174,-15.658435,0.894288,907.1452,79799.298,Transformer
0.000596,0.028331,-15.477364,0.897385,953.2908,92388.354,Informer
2025-02-22  *11:40:55,64QAM,frequency1:1G,frequency2:5G,memory depth:5,,
0.012906,0.002336,-26.315712,0.941214,508.1743,79799.298,Transformer
0.012278,0.002222,-26.532433,0.940443,550.1338,92388.354,Informer
2025-02-22  *11:55:31,64QAM,frequency1:1G,frequency2:5G,memory depth:10,,
0.013965,0.001739,-27.597607,0.943887,907.1452,79799.298,Transformer
0.021431,0.002668,-25.737541,0.939002,953.2908,92388.354,Informer
2025-02-22  *12:08:24,64QAM,frequency1:2G,frequency2:10G,memory depth:5,,
0.005484,0.005758,-22.397623,0.915557,508.1743,79799.298,Transformer
0.005759,0.006046,-22.18523,0.915715,550.1338,92388.354,Informer
2025-02-22  *12:29:09,64QAM,frequency1:2G,frequency2:10G,memory depth:10,,
0.005107,0.00538,-22.691814,0.91443,907.1452,79799.298,Transformer
0.005484,0.005777,-22.383007,0.914707,953.2908,92388.354,Informer
2025-02-22  *13:02:52,64QAM,frequency1:4G,frequency2:20G,memory depth:5,,
0.011903,0.043294,-13.635714,0.874096,508.1743,79799.298,Transformer
0.011805,0.042936,-13.671835,0.872504,550.1338,92388.354,Informer
2025-02-22  *13:44:18,64QAM,frequency1:4G,frequency2:20G,memory depth:10,,
0.007076,0.02703,-15.681574,0.890585,907.1452,79799.298,Transformer
0.007071,0.027012,-15.684462,0.890884,953.2908,92388.354,Informer
###,,,,,,
2025-02-23  *06:46:45,sample rate:100,band width:Ka,memory depth:5,,,
Transformer,0.013146,-18.81213,,,,
Informer,0.010831,-19.65348,,,,
2025-02-23  *06:46:59,sample rate:100,band width:Ka,memory depth:10,,,
Transformer,0.004026,-23.95179,,,,
Informer,0.004267,-23.698639,,,,
2025-02-23  *06:47:15,sample rate:100,band width:QV,memory depth:5,,,
Transformer,0.005704,-22.438242,,,,
Informer,0.005181,-22.856195,,,,
2025-02-23  *06:47:28,sample rate:100,band width:QV,memory depth:10,,,
Transformer,0.003656,-24.36935,,,,
Informer,0.00406,-23.91426,,,,
2025-02-23  *06:47:43,sample rate:200,band width:Ka,memory depth:5,,,
Informer,0.037137,-14.30192,,,,
2025-02-23  *06:47:54,sample rate:200,band width:Ka,memory depth:10,,,
Transformer,0.034799,-14.584333,,,,
Informer,0.035327,-14.518927,,,,
2025-02-23  *06:48:12,sample rate:200,band width:QV,memory depth:5,,,
Transformer,0.009664,-20.148449,,,,
Informer,0.009438,-20.251152,,,,
2025-02-23  *06:48:27,sample rate:200,band width:QV,memory depth:10,,,
Transformer,0.008287,-20.816044,,,,
Informer,0.00891,-20.50108,,,,
2025-02-23  *06:48:44,16QAM,frequency1:1G,frequency2:5G,memory depth:5,,
Transformer,0.0048,-23.187256,,,,
Informer,0.007503,-21.247696,,,,
2025-02-23  *06:48:55,16QAM,frequency1:1G,frequency2:5G,memory depth:10,,
Transformer,0.005114,-22.912231,,,,
Informer,0.011874,-19.253939,,,,
2025-02-23  *06:49:08,16QAM,frequency1:2G,frequency2:10G,memory depth:5,,
Transformer,0.006602,-21.803225,,,,
Informer,0.008804,-20.553375,,,,
2025-02-23  *06:49:22,16QAM,frequency1:2G,frequency2:10G,memory depth:10,,
Transformer,0.006706,-21.73525,,,,
Informer,0.0116,-19.35541,,,,
2025-02-23  *06:49:42,16QAM,frequency1:4G,frequency2:20G,memory depth:5,,
Transformer,0.041928,-13.77492,,,,
Informer,0.041762,-13.792179,,,,
2025-02-23  *06:50:02,16QAM,frequency1:4G,frequency2:20G,memory depth:10,,
Transformer,0.027174,-15.658435,,,,
Informer,0.028329,-15.477678,,,,
2025-02-23  *06:50:27,64QAM,frequency1:1G,frequency2:5G,memory depth:5,,
Transformer,0.002336,-26.315712,,,,
Informer,0.002139,-26.697495,,,,
2025-02-23  *06:50:39,64QAM,frequency1:1G,frequency2:5G,memory depth:10,,
Transformer,0.001739,-27.597607,,,,
Informer,0.002641,-25.782373,,,,
2025-02-23  *06:50:53,64QAM,frequency1:2G,frequency2:10G,memory depth:5,,
Transformer,0.005758,-22.397623,,,,
Informer,0.006017,-22.206417,,,,
2025-02-23  *06:51:09,64QAM,frequency1:2G,frequency2:10G,memory depth:10,,
Transformer,0.00538,-22.691814,,,,
Informer,0.005771,-22.387127,,,,
2025-02-23  *06:51:26,64QAM,frequency1:4G,frequency2:20G,memory depth:5,,
Transformer,0.043294,-13.635714,,,,
Informer,0.042772,-13.688398,,,,
